FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED
2/1/18,NK,SJU,"San Juan, PR",PR,MCO,"Orlando, FL",FL,1504,-8,1725,1706,-19,0
2/1/18,AA,MIA,"Miami, FL",FL,SJU,"San Juan, PR",PR,1021,-4,1358,1351,-7,0
2/1/18,AA,SJU,"San Juan, PR",PR,DFW,"Dallas/Fort Worth, TX",TX,1432,8,1800,1806,6,0
2/1/18,AA,SJU,"San Juan, PR",PR,MIA,"Miami, FL",FL,1440,-3,1645,1643,-2,0
2/1/18,AA,SJU,"San Juan, PR",PR,ORD,"Chicago, IL",IL,1542,-8,1925,1914,-11,0
2/1/18,AA,MIA,"Miami, FL",FL,SJU,"San Juan, PR",PR,704,-1,1039,1035,-4,0
2/1/18,AA,SJU,"San Juan, PR",PR,MIA,"Miami, FL",FL,1819,-11,2030,2001,-29,0
2/1/18,AA,SJU,"San Juan, PR",PR,MIA,"Miami, FL",FL,729,-1,929,921,-8,0
2/1/18,AA,MIA,"Miami, FL",FL,SJU,"San Juan, PR",PR,2119,-6,101,42,-19,0
2/1/18,AA,ORD,"Chicago, IL",IL,SJU,"San Juan, PR",PR,828,-2,1505,1457,-8,0
2/1/18,AA,MIA,"Miami, FL",FL,SJU,"San Juan, PR",PR,1950,-5,2336,2320,-16,0
2/1/18,AA,SJU,"San Juan, PR",PR,PHL,"Philadelphia, PA",PA,848,-14,1214,1207,-7,0
2/1/18,AA,PHL,"Philadelphia, PA",PA,SJU,"San Juan, PR",PR,1745,-5,2243,2228,-15,0
2/1/18,AA,MIA,"Miami, FL",FL,SJU,"San Juan, PR",PR,1800,-10,2150,2143,-7,0
2/1/18,AA,SJU,"San Juan, PR",PR,DFW,"Dallas/Fort Worth, TX",TX,943,-7,1321,1307,-14,0
2/1/18,AA,MIA,"Miami, FL",FL,SJU,"San Juan, PR",PR,1208,-2,1544,1532,-12,0
2/1/18,AA,SJU,"San Juan, PR",PR,MIA,"Miami, FL",FL,1646,11,1839,1829,-10,0
2/1/18,UA,SJU,"San Juan, PR",PR,ORD,"Chicago, IL",IL,1457,-8,1815,1755,-20,0
2/1/18,UA,SJU,"San Juan, PR",PR,IAH,"Houston, TX",TX,1652,-8,1955,1938,-17,0
2/1/18,NK,MCO,"Orlando, FL",FL,SJU,"San Juan, PR",PR,1300,-3,1644,1644,0,0
2/1/18,WN,BWI,"Baltimore, MD",MD,SJU,"San Juan, PR",PR,826,-4,1335,1324,-11,0
2/1/18,WN,FLL,"Fort Lauderdale, FL",FL,SJU,"San Juan, PR",PR,1838,3,2205,2158,-7,0
2/1/18,WN,FLL,"Fort Lauderdale, FL",FL,SJU,"San Juan, PR",PR,727,-8,1105,1050,-15,0
2/1/18,WN,FLL,"Fort Lauderdale, FL",FL,SJU,"San Juan, PR",PR,1154,-1,1525,1515,-10,0
2/1/18,WN,MCO,"Orlando, FL",FL,SJU,"San Juan, PR",PR,1602,2,1945,1940,-5,0
2/1/18,WN,MCO,"Orlando, FL",FL,SJU,"San Juan, PR",PR,1945,0,2330,2313,-17,0
2/1/18,WN,MCO,"Orlando, FL",FL,SJU,"San Juan, PR",PR,958,-2,1340,1338,-2,0
2/1/18,WN,SJU,"San Juan, PR",PR,BWI,"Baltimore, MD",MD,1150,0,1510,1456,-14,0
2/1/18,WN,SJU,"San Juan, PR",PR,FLL,"Fort Lauderdale, FL",FL,1428,-2,1630,1611,-19,0
2/1/18,WN,SJU,"San Juan, PR",PR,FLL,"Fort Lauderdale, FL",FL,712,-3,915,856,-19,0
2/1/18,WN,SJU,"San Juan, PR",PR,FLL,"Fort Lauderdale, FL",FL,1910,10,2055,2056,1,0
2/1/18,WN,SJU,"San Juan, PR",PR,MCO,"Orlando, FL",FL,2023,-2,2240,2228,-12,0
2/1/18,WN,SJU,"San Juan, PR",PR,MCO,"Orlando, FL",FL,1623,-2,1840,1826,-14,0
2/1/18,WN,SJU,"San Juan, PR",PR,MCO,"Orlando, FL",FL,624,-6,850,829,-21,0
2/1/18,WN,SJU,"San Juan, PR",PR,TPA,"Tampa, FL",FL,1428,-2,1655,1640,-15,0
2/1/18,WN,TPA,"Tampa, FL",FL,SJU,"San Juan, PR",PR,1444,19,1810,1831,21,0
2/1/18,AA,DFW,"Dallas/Fort Worth, TX",TX,SJU,"San Juan, PR",PR,1531,26,2130,2155,25,0
2/1/18,AA,CLT,"Charlotte, NC",NC,SJU,"San Juan, PR",PR,1147,-8,1627,1631,4,0
2/1/18,AA,SJU,"San Juan, PR",PR,CLT,"Charlotte, NC",NC,1725,-5,2026,2035,9,0
2/1/18,AA,SJU,"San Juan, PR",PR,MIA,"Miami, FL",FL,854,-6,1103,1054,-9,0
2/1/18,AA,SJU,"San Juan, PR",PR,MIA,"Miami, FL",FL,1000,-15,1213,1149,-24,0
2/1/18,AA,DFW,"Dallas/Fort Worth, TX",TX,SJU,"San Juan, PR",PR,710,0,1339,1347,8,0
2/1/18,DL,SJU,"San Juan, PR",PR,JFK,"New York, NY",NY,1349,-17,1714,1648,-26,0
2/1/18,DL,SJU,"San Juan, PR",PR,JFK,"New York, NY",NY,1734,-16,2059,2039,-20,0
2/1/18,DL,JFK,"New York, NY",NY,SJU,"San Juan, PR",PR,759,-6,1305,1236,-29,0
2/1/18,DL,SJU,"San Juan, PR",PR,ATL,"Atlanta, GA",GA,1517,2,1825,1819,-6,0
2/1/18,DL,ATL,"Atlanta, GA",GA,SJU,"San Juan, PR",PR,1823,-3,2255,2233,-22,0
2/1/18,DL,ATL,"Atlanta, GA",GA,SJU,"San Juan, PR",PR,955,12,1415,1426,11,0
2/1/18,DL,SJU,"San Juan, PR",PR,ATL,"Atlanta, GA",GA,754,-6,1054,1048,-6,0
2/1/18,DL,SJU,"San Juan, PR",PR,ATL,"Atlanta, GA",GA,1655,-4,2004,1940,-24,0
2/1/18,DL,ATL,"Atlanta, GA",GA,SJU,"San Juan, PR",PR,1136,-1,1604,1605,1,0
2/1/18,DL,JFK,"New York, NY",NY,SJU,"San Juan, PR",PR,1145,-5,1644,1623,-21,0
2/1/18,UA,IAH,"Houston, TX",TX,SJU,"San Juan, PR",PR,943,-2,1600,1551,-9,0
